priming,qt,avg,participant,story
no_prime,al,1.35,1,11
no_prime,as,1.5,1,11
no_prime,al,1.7,2,11
no_prime,as,1.65,2,11
no_prime,al,1.0,3,11
no_prime,as,1.5,3,11
no_prime,al,1.375,4,11
no_prime,as,2.25,4,11
no_prime,al,0.25,5,11
no_prime,as,1.0625,5,11
no_prime,al,1.6666666666666667,6,11
no_prime,as,1.3333333333333335,6,11
no_prime,al,1.25,7,11
no_prime,as,2.1875,7,11
no_prime,al,2.375,8,11
no_prime,as,2.375,8,11
no_prime,al,1.5,9,11
no_prime,as,0.9375,9,11
no_prime,al,0.0,10,11
no_prime,as,0.375,10,11
no_prime,al,0.3125,11,11
no_prime,as,0.875,11,11
no_prime,al,0.0,12,11
no_prime,as,0.75,12,11
no_prime,al,0.25,13,11
no_prime,as,0.375,13,11
no_prime,al,0.1,14,12
no_prime,as,0.0,14,12
no_prime,al,1.25,15,12
no_prime,as,1.5,15,12
no_prime,al,0.5,16,12
no_prime,as,0.875,16,12
no_prime,al,0.875,17,12
no_prime,as,0.3125,17,12
no_prime,al,0.0,18,12
no_prime,as,0.875,18,12
no_prime,al,1.625,19,12
no_prime,as,1.25,19,12
no_prime,al,1.0625,20,12
no_prime,as,1.6875,20,12
no_prime,al,0.0625,21,12
no_prime,as,0.0,21,12
no_prime,al,0.4375,22,12
no_prime,as,0.75,22,12
no_prime,al,0.625,23,12
no_prime,as,1.0,23,12
no_prime,al,0.125,24,12
no_prime,as,1.875,24,12
no_prime,al,0.625,25,12
no_prime,as,1.3125,25,12
no_prime,al,0.9375,26,12
no_prime,as,1.5,26,12
no_prime,al,1.0,27,12
no_prime,as,1.375,27,12
no_prime,al,2.1500000000000004,28,13
no_prime,as,1.85,28,13
no_prime,al,0.6875,29,13
no_prime,as,1.875,29,13
no_prime,al,1.6875,30,13
no_prime,as,1.4375,30,13
no_prime,al,1.0,31,13
no_prime,as,1.1875,31,13
no_prime,al,0.0625,32,13
no_prime,as,1.25,32,13
no_prime,al,2.875,33,13
no_prime,as,3.0,33,13
no_prime,al,2.6875,34,13
no_prime,as,1.8125,34,13
no_prime,al,2.0625,35,13
no_prime,as,1.4375,35,13
no_prime,al,0.75,36,13
no_prime,as,1.75,36,13
no_prime,al,2.0,37,13
no_prime,as,1.5625,37,13
no_prime,al,1.75,38,13
no_prime,as,1.25,38,13
no_prime,al,1.4375,39,13
no_prime,as,2.125,39,13
no_prime,al,1.55,40,14
no_prime,as,2.3,40,14
no_prime,al,0.7,41,14
no_prime,as,0.9,41,14
no_prime,al,0.9375,42,14
no_prime,as,1.9375,42,14
no_prime,al,0.3125,43,14
no_prime,as,1.4375,43,14
no_prime,al,0.75,44,14
no_prime,as,1.5,44,14
no_prime,al,1.125,45,14
no_prime,as,1.5,45,14
no_prime,al,1.125,46,14
no_prime,as,1.9375,46,14
no_prime,al,0.75,47,14
no_prime,as,1.5,47,14
no_prime,al,1.5625,48,21
no_prime,as,2.5,48,21
no_prime,al,1.3125,49,21
no_prime,as,1.4375,49,21
no_prime,al,0.25,50,21
no_prime,as,0.0,50,21
no_prime,al,0.25,51,21
no_prime,as,0.6875,51,21
no_prime,al,0.1875,52,21
no_prime,as,1.4375,52,21
no_prime,al,0.9375,53,21
no_prime,as,2.0625,53,21
no_prime,al,0.6875,54,21
no_prime,as,0.75,54,21
no_prime,al,1.0,55,21
no_prime,as,1.4375,55,21
no_prime,al,1.25,56,22
no_prime,as,1.65,56,22
no_prime,al,0.30000000000000004,57,22
no_prime,as,0.8,57,22
no_prime,al,0.9,58,22
no_prime,as,0.25,58,22
no_prime,al,0.0,59,22
no_prime,as,0.25,59,22
no_prime,al,0.5625,60,22
no_prime,as,0.0,60,22
no_prime,al,1.25,61,22
no_prime,as,0.8125,61,22
no_prime,al,1.0,62,22
no_prime,as,1.75,62,22
no_prime,al,1.5,63,22
no_prime,as,2.0,63,22
no_prime,al,2.25,64,22
no_prime,as,2.0,64,22
no_prime,al,1.25,65,22
no_prime,as,1.0,65,22
no_prime,al,1.25,66,22
no_prime,as,1.5,66,22
no_prime,al,0.75,67,23
no_prime,as,0.75,67,23
no_prime,al,0.75,68,23
no_prime,as,0.9,68,23
no_prime,al,1.75,69,23
no_prime,as,2.05,69,23
no_prime,al,1.5,70,23
no_prime,as,1.75,70,23
no_prime,al,0.75,71,23
no_prime,as,1.25,71,23
no_prime,al,0.875,72,23
no_prime,as,2.25,72,23
no_prime,al,1.4375,73,23
no_prime,as,0.875,73,23
no_prime,al,1.5,74,23
no_prime,as,1.5625,74,23
no_prime,al,0.0,75,23
no_prime,as,0.375,75,23
no_prime,al,0.875,76,23
no_prime,as,1.25,76,23
no_prime,al,0.9375,77,24
no_prime,as,0.0,77,24
no_prime,al,1.875,78,24
no_prime,as,2.25,78,24
no_prime,al,0.5,79,24
no_prime,as,3.0,79,24
no_prime,al,0.6875,80,24
no_prime,as,1.5,80,24
no_prime,al,0.25,81,24
no_prime,as,0.75,81,24
no_prime,al,0.9375,82,24
no_prime,as,1.3125,82,24
no_prime,al,0.3125,83,24
no_prime,as,0.75,83,24
no_prime,al,0.75,84,31
no_prime,as,2.1,84,31
no_prime,al,1.3125,85,31
no_prime,as,0.8125,85,31
no_prime,al,0.625,86,31
no_prime,as,0.25,86,31
no_prime,al,1.0625,87,31
no_prime,as,0.4375,87,31
no_prime,al,1.4375,88,31
no_prime,as,2.0625,88,31
no_prime,al,1.5625,89,31
no_prime,as,1.625,89,31
no_prime,al,1.375,90,31
no_prime,as,1.875,90,31
no_prime,al,0.875,91,31
no_prime,as,0.5,91,31
no_prime,al,1.05,92,32
no_prime,as,2.1,92,32
no_prime,al,1.2,93,32
no_prime,as,2.85,93,32
no_prime,al,1.1875,94,32
no_prime,as,0.0625,94,32
no_prime,al,0.75,95,32
no_prime,as,1.0625,95,32
no_prime,al,1.9375,96,32
no_prime,as,2.125,96,32
no_prime,al,0.5,97,32
no_prime,as,1.5,97,32
no_prime,al,0.0,98,32
no_prime,as,0.75,98,32
no_prime,al,1.25,99,33
no_prime,as,0.25,99,33
no_prime,al,2.4,100,33
no_prime,as,1.35,100,33
no_prime,al,1.7999999999999998,101,33
no_prime,as,1.5,101,33
no_prime,al,0.5,102,33
no_prime,as,0.25,102,33
no_prime,al,2.25,103,33
no_prime,as,2.375,103,33
no_prime,al,2.5625,104,33
no_prime,as,1.375,104,33
no_prime,al,1.25,105,33
no_prime,as,0.875,105,33
no_prime,al,1.25,106,33
no_prime,as,0.5,106,33
no_prime,al,0.9,107,34
no_prime,as,1.55,107,34
no_prime,al,1.2000000000000002,108,34
no_prime,as,1.6,108,34
no_prime,al,1.1875,109,34
no_prime,as,2.0,109,34
no_prime,al,0.0,110,34
no_prime,as,0.125,110,34
