priming,dif
no_prime,0.1499999999999999
no_prime,-0.050000000000000044
no_prime,0.5
no_prime,0.875
no_prime,0.8125
no_prime,-0.33333333333333326
no_prime,0.9375
no_prime,0.0
no_prime,-0.5625
no_prime,0.375
no_prime,0.5625
no_prime,0.75
no_prime,0.125
no_prime,-0.1
no_prime,0.25
no_prime,0.375
no_prime,-0.5625
no_prime,0.875
no_prime,-0.375
no_prime,0.625
no_prime,-0.0625
no_prime,0.3125
no_prime,0.375
no_prime,1.75
no_prime,0.6875
no_prime,0.5625
no_prime,0.375
no_prime,-0.30000000000000027
no_prime,1.1875
no_prime,-0.25
no_prime,0.1875
no_prime,1.1875
no_prime,0.125
no_prime,-0.875
no_prime,-0.625
no_prime,1.0
no_prime,-0.4375
no_prime,-0.5
no_prime,0.6875
no_prime,0.7499999999999998
no_prime,0.20000000000000007
no_prime,1.0
no_prime,1.125
no_prime,0.75
no_prime,0.375
no_prime,0.8125
no_prime,0.75
no_prime,0.9375
no_prime,0.125
no_prime,-0.25
no_prime,0.4375
no_prime,1.25
no_prime,1.125
no_prime,0.0625
no_prime,0.4375
no_prime,0.3999999999999999
no_prime,0.5
no_prime,-0.65
no_prime,0.25
no_prime,-0.5625
no_prime,-0.4375
no_prime,0.75
no_prime,0.5
no_prime,-0.25
no_prime,-0.25
no_prime,0.25
no_prime,0.0
no_prime,0.15000000000000002
no_prime,0.2999999999999998
no_prime,0.25
no_prime,0.5
no_prime,1.375
no_prime,-0.5625
no_prime,0.0625
no_prime,0.375
no_prime,0.375
no_prime,-0.9375
no_prime,0.375
no_prime,2.5
no_prime,0.8125
no_prime,0.5
no_prime,0.375
no_prime,0.4375
no_prime,1.35
no_prime,-0.5
no_prime,-0.375
no_prime,-0.625
no_prime,0.625
no_prime,0.0625
no_prime,0.5
no_prime,-0.375
no_prime,1.05
no_prime,1.6500000000000001
no_prime,-1.125
no_prime,0.3125
no_prime,0.1875
no_prime,1.0
no_prime,0.75
no_prime,-1.0
no_prime,-1.0499999999999998
no_prime,-0.2999999999999998
no_prime,-0.25
no_prime,0.125
no_prime,-1.1875
no_prime,-0.375
no_prime,-0.75
no_prime,0.65
no_prime,0.3999999999999999
no_prime,0.8125
no_prime,0.125
no_prime,0.875
no_prime,0.0625
no_prime,-0.25
no_prime,1.4375
no_prime,0.9375
no_prime,0.1875
no_prime,-0.1875
no_prime,0.75
no_prime,0.3125
no_prime,-0.8125
no_prime,-0.4500000000000002
no_prime,2.0
no_prime,-0.1875
no_prime,0.375
no_prime,0.0625
no_prime,-0.5
no_prime,-0.25
no_prime,0.09999999999999987
no_prime,-0.4
no_prime,-0.1875
no_prime,-0.6875
no_prime,-0.4375
no_prime,-0.75
no_prime,0.875
no_prime,0.75
no_prime,2.55
no_prime,0.125
no_prime,1.5
no_prime,0.875
