priming,dif,participant,story
no_prime,0.1499999999999999,1,11
no_prime,-0.050000000000000044,2,11
no_prime,0.5,3,11
no_prime,0.875,4,11
no_prime,0.8125,5,11
no_prime,-0.33333333333333326,6,11
no_prime,0.9375,7,11
no_prime,0.0,8,11
no_prime,-0.5625,9,11
no_prime,0.375,10,11
no_prime,0.5625,11,11
no_prime,0.75,12,11
no_prime,0.125,13,11
no_prime,-0.1,14,12
no_prime,0.25,15,12
no_prime,0.375,16,12
no_prime,-0.5625,17,12
no_prime,0.875,18,12
no_prime,-0.375,19,12
no_prime,0.625,20,12
no_prime,-0.0625,21,12
no_prime,0.3125,22,12
no_prime,0.375,23,12
no_prime,1.75,24,12
no_prime,0.6875,25,12
no_prime,0.5625,26,12
no_prime,0.375,27,12
no_prime,-0.30000000000000027,28,13
no_prime,1.1875,29,13
no_prime,-0.25,30,13
no_prime,0.1875,31,13
no_prime,1.1875,32,13
no_prime,0.125,33,13
no_prime,-0.875,34,13
no_prime,-0.625,35,13
no_prime,1.0,36,13
no_prime,-0.4375,37,13
no_prime,-0.5,38,13
no_prime,0.6875,39,13
no_prime,0.7499999999999998,40,14
no_prime,0.20000000000000007,41,14
no_prime,1.0,42,14
no_prime,1.125,43,14
no_prime,0.75,44,14
no_prime,0.375,45,14
no_prime,0.8125,46,14
no_prime,0.75,47,14
no_prime,0.9375,48,21
no_prime,0.125,49,21
no_prime,-0.25,50,21
no_prime,0.4375,51,21
no_prime,1.25,52,21
no_prime,1.125,53,21
no_prime,0.0625,54,21
no_prime,0.4375,55,21
no_prime,0.3999999999999999,56,22
no_prime,0.5,57,22
no_prime,-0.65,58,22
no_prime,0.25,59,22
no_prime,-0.5625,60,22
no_prime,-0.4375,61,22
no_prime,0.75,62,22
no_prime,0.5,63,22
no_prime,-0.25,64,22
no_prime,-0.25,65,22
no_prime,0.25,66,22
no_prime,0.0,67,23
no_prime,0.15000000000000002,68,23
no_prime,0.2999999999999998,69,23
no_prime,0.25,70,23
no_prime,0.5,71,23
no_prime,1.375,72,23
no_prime,-0.5625,73,23
no_prime,0.0625,74,23
no_prime,0.375,75,23
no_prime,0.375,76,23
no_prime,-0.9375,77,24
no_prime,0.375,78,24
no_prime,2.5,79,24
no_prime,0.8125,80,24
no_prime,0.5,81,24
no_prime,0.375,82,24
no_prime,0.4375,83,24
no_prime,1.35,84,31
no_prime,-0.5,85,31
no_prime,-0.375,86,31
no_prime,-0.625,87,31
no_prime,0.625,88,31
no_prime,0.0625,89,31
no_prime,0.5,90,31
no_prime,-0.375,91,31
no_prime,1.05,92,32
no_prime,1.6500000000000001,93,32
no_prime,-1.125,94,32
no_prime,0.3125,95,32
no_prime,0.1875,96,32
no_prime,1.0,97,32
