date,prolific_id,story,persp,p_type,1,q1,2,q2,3,q3,4,q4,5,q5,6,q6,7,q7,8,q8
2020-12-02,5d4a0765eae90d0019a6265a,44,4,1,"""old""",,"""egyptologyslashmummification""",,"""mummification practices""",,"""I cannot remember""",,""" pen""",,"""have I seen you before?""",,"""next class""",,"""3pm""",
2020-12-02,5bd9f569eb22f2000183df4e,44,40,2,"""It is located in a basement with no windows, it has foldable chairs and tables and a blackboard.""",,"""the lecture was about mummying and it was the Egyptology lecture. """,,"""How mummying was performed. """,,"""I cannot remember""",,""" They were in the classroom, there were chairs and a blackboard, but I think she noticed him when he sent her a note.""",,"""Are you from LA, because I think I have met you before.""",,"""They will meet at 8:00 in the front of her dorm. """,,"""I think it was noon.""",
2020-12-02,5cbbd55510241a0017b81a65,44,4,0,""" It had no windows""",,"""The lecture was about mummies in Egypt. I do not recall the class.""",,"""Mummies spent much time preserving the dead.""",,"""This I do not recall.""",,"""Eraser""",,"""He asks if she is from LA""",,"""that evening, for I do not remember which event""",,""" 12? """,
2020-12-02,5f44b9382561d4000a8740e9,44,4,1,""" There are rows of seats and everyone faces the front where the lecturer is. The room is wide.""",,"""The class is about Ancient Egypt and the lecture was about mummification.""",,"""The lecturer discussed how it takes 70 days and a group of experts to mummify a deceased individual.""",,"""The assignment is due the next class""",,"""A pen or pencil""",,"""Leon sends a note to her asking her if she lived in LA """,,"""They will meet that night at 8 pm for an evening walk""",,"""12 noon""",
2020-12-02,5f3aead81965e27c4a531d95,44,4,0,"""in the basement""",,"""egyptology, mummies """,,"""mummification""",,"""a test on the practices of egyption mummification next class""",,""" a notebook""",,"""are you from los angeles""",,"""830 for a walk outside the dorm""",,"""after class, 12 pm""",
2020-12-02,5ed9c0336cb961557325f482,44,4,1,""" The lecture hall is sparse with folding chairs and no windows.""",,"""The students are in a class about Ancient Egypt and are learning about the process of mummification.""",,"""The funeral process was complex and difficult, but important and required multiple people.""",,"""There is a quiz on Friday about mummification""",,"""Leon is holding a bag walking into class when he notices Ariana?""",,"""Im sorry to bother you while learning about mummification, but are you from LA?""",,"""The couple will meet for a walk later that evening at 8""",,"""It is noon.""",
2020-12-02,5f847731c01dbb0d347c5d77,44,4,1,""" in the basement with no windows, tables stacked together""",,"""history class, mummification""",,"""mummification""",,"""notes, due next week""",,"""pencil""",,"""are you from la""",,"""that night at 8pm to study""",,"""3""",
2020-12-02,5f47f19248a89010ebae8705,44,4,1,""" it is in the basement so there are no windows""",,"""they are in a history class and the days lecture is about mummies and mummification""",,"""mummification""",,"""there is a quiz the following week""",,"""i dont remember""",,"""are you from La""",,"""at 8pm in front of her dorm for a walk""",,"""noon""",
2020-12-02,5f4a7a00dc1bde60ab8f7ac5,44,4,0,"""open""",,"""history""",,"""mummies""",,"""donapostrophe  """,,"""  donapostrophe """,,"""mummies""",,"""canapostrophe""",,"""evening""",
2020-12-02,5f85e3bf2534c80d25968033,44,40,2,"""in a basement, dark """,,"""history class, lecture about mummification""",,"""mummies are found in ancient egypt""",,"""the next classes assignment is a quiz and its happening next class""",,""" eraser""",,"""have i met your before?""",,"""night for a walk""",,"""after history class""",
2020-12-02,55a47692fdf99b126e625257,44,4,0,"""crowded and larg""",,"""history, and mummification""",,"""mummification""",,"""a test next friday, on mummification""",,""" book""",,"""are you from la""",,"""later that day""",,"""morning""",
2020-12-02,5c71a951d30a7c0001729541,44,40,2,"""  big, but i dont remeber""",,"""history""",,"""ancient history""",,"""friday, a test review""",,"""i dont remember""",,"""have i seen you before""",,"""later that night for a walk at 8""",,"""after class""",
2020-12-02,5b9f666bcc5dd0000166ce65,44,40,2,"""It has no windows due to being in the basement of the history department""",,"""The students are in a history class and the lecture was about mummification""",,"""Ancient Egyptians studied to make mummies and were highly skilled at their jobs. The process took 70 days""",,"""The next assignment is a quiz and itapostrophes due at the end of the week?""",,""" pencil""",,"""are you from LA? You look familiar""",,"""At the dorm where Ariana lives at 8pm for a walk""",,"""Noon""",
2020-12-02,5fb58aa342f3ba024a1ca7e5,44,40,2,""" like a basement""",,"""history""",,"""unsure""",,"""on friday which is there next class, forgot the assignment""",,"""paper""",,"""if he saw her before""",,"""8pm at arianas dorm to go for a walk""",,"""12noon""",
