story,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
11,1.0,1.62,1.5,2.0,0.75,1.88,1.75,2.0
12,1.0,1.0,1.6,1.6,1.4,1.8,1.4,1.8
13,0.0,1.0,1.5,0.5,0.0,2.0,2.0,2.0
14,0.0,0.75,0.0,0.5,1.75,1.75,1.5,2.0
21,1.17,0.5,1.0,1.33,1.5,0.83,2.0,1.67
22,1.0,1.33,1.33,1.33,0.67,0.67,1.67,1.33
23,0.67,2.0,1.33,1.67,2.0,1.33,1.67,2.0
24,1.38,1.62,0.75,0.5,1.38,1.88,1.75,1.75
31,2.0,1.0,1.0,2.0,1.5,1.5,2.0,2.0
32,1.0,0.86,1.0,0.71,1.71,1.29,1.0,1.14
33,0.0,0.38,1.0,1.0,1.75,1.25,1.25,0.88
34,1.33,0.0,0.0,0.0,1.0,2.0,0.67,1.67
41,1.5,0.5,1.0,2.0,2.0,1.5,1.0,0.5
42,1.17,0.67,1.83,0.33,2.0,2.0,2.0,2.0
43,0.5,1.5,1.62,1.62,0.5,1.88,1.25,1.25
44,0.75,0.25,0.0,1.25,1.75,2.0,1.25,1.0
